"ScanIndex","Family","DiagramIndex","Example03Group","Example03Topology","Example03GraphIndex","Example03PrimaryQ","PropagatorCount","TopologyName","RegionType","ZeroVars","RemainingVars","PreselectionZeroVars","PreselectionEffectivePropagatorCount","F0TermCount","ObstructionRecordQ","ValidObstructionTrialCount","CandidateGeneratorCount","GeneratorCount","GeneratorSetFactorCount","SearchMethod","CancellationFactorCount","CancellationFactorClassCounts","PolynomialCancellationFactorQ","SLSectorFactorCount","SLSectorFactorClassCounts","SLSectorAllBinomialQ","SLSectorPolynomialFactorQ","AcceptedScalingQ","ScalingVector","AcceptedScalingCount","ScalingStatus","HRFoundWithScalingQ"
"56","nonplanar","45","other","","","False","7","nonplanar:45","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x6}","6","11","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""polynomial-4-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"57","nonplanar","62","other","","","False","7","nonplanar:62","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x3}","5","11","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""polynomial-4-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"58","nonplanar","66","other","","","False","7","nonplanar:66","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x2}","5","10","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""binomial"" -> 1, ""polynomial-3-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"59","nonplanar","80","other","","","False","8","nonplanar:80","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x3, x4}","5","20","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"60","nonplanar","82","other","","","False","8","nonplanar:82","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x6, x7}","6","14","False","1","1","0","0","Missing[""NoObstructionData""]","3","<|""polynomial-7-term"" -> 2, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"61","nonplanar","84","other","","","False","8","nonplanar:84","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x3, x4}","5","19","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-9-term"" -> 1, ""polynomial-6-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"62","nonplanar","91","other","","","False","8","nonplanar:91","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x3, x4}","5","15","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""binomial"" -> 1, ""polynomial-9-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"63","nonplanar","93","other","","","False","8","nonplanar:93","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x6, x7}","6","20","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"64","nonplanar","94","other","","","False","8","nonplanar:94","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x3, x4}","5","20","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-9-term"" -> 2|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"65","nonplanar","98","other","","","False","8","nonplanar:98","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x6, x7}","6","20","False","0","0","0","0","Missing[""NoObstructionData""]","0","<||>","False","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
